1^Service^2013-09-30 15:38:23^2013-09-30 15:38:23
2^WMS^2013-09-30 15:38:23^2013-09-30 15:38:23
3^Survey^2013-09-30 15:38:23^2013-09-30 15:38:23
4^OSM^2013-09-30 15:38:24^2013-09-30 15:38:24
5^OGC^2013-09-30 15:38:24^2013-09-30 15:38:24
6^Compliant^2013-09-30 15:38:24^2013-09-30 15:38:24
7^Series^2013-09-30 15:38:24^2013-09-30 15:38:24
8^Services^2013-09-30 15:38:24^2013-09-30 15:38:24
9^Meaning^2013-09-30 15:38:24^2013-09-30 15:38:24
10^Problems^2013-09-30 15:38:25^2013-09-30 15:38:25
11^Themes^2013-09-30 15:38:25^2013-09-30 15:38:25
12^Facilitates^2013-09-30 15:38:25^2013-09-30 15:38:25
13^Interest^2013-09-30 15:38:25^2013-09-30 15:38:25
14^Viewing^2013-09-30 15:38:25^2013-09-30 15:38:25
15^Download^2013-09-30 15:38:25^2013-09-30 15:38:25
16^NSDI^2013-09-30 15:38:26^2013-09-30 15:38:26
17^GEO^2013-09-30 15:38:26^2013-09-30 15:38:26
18^Portal^2013-09-30 15:38:26^2013-09-30 15:38:26
19^National^2013-09-30 15:38:26^2013-09-30 15:38:26
20^Spatial^2013-09-30 15:38:26^2013-09-30 15:38:26
21^Infrastructure^2013-09-30 15:38:27^2013-09-30 15:38:27
22^50^2013-09-30 15:38:27^2013-09-30 15:38:27
23^Projects^2013-09-30 15:38:28^2013-09-30 15:38:28
24^Number^2013-09-30 15:38:28^2013-09-30 15:38:28
25^Research^2013-09-30 15:38:28^2013-09-30 15:38:28
26^Development^2013-09-30 15:38:28^2013-09-30 15:38:28
27^Department^2013-09-30 15:38:28^2013-09-30 15:38:28
28^Biotechnology^2013-09-30 15:38:28^2013-09-30 15:38:28
29^Schemes^2013-09-30 15:38:28^2013-09-30 15:38:28
30^Institutes^2013-09-30 15:38:29^2013-09-30 15:38:29
31^Universities^2013-09-30 15:38:29^2013-09-30 15:38:29
32^Grants^2013-09-30 15:38:29^2013-09-30 15:38:29
33^System^2013-09-30 15:38:29^2013-09-30 15:38:29
34^Feasibility^2013-09-30 15:38:29^2013-09-30 15:38:29
35^Government^2013-09-30 15:38:29^2013-09-30 15:38:29
36^2013^2013-09-30 15:38:30^2013-09-30 15:38:30
37^13^2013-09-30 15:38:31^2013-09-30 15:38:31
38^Interacting^2013-09-30 15:38:32^2013-09-30 15:38:32
39^DBT^2013-09-30 15:38:33^2013-09-30 15:38:33
40^Interacted^2013-09-30 15:38:33^2013-09-30 15:38:33
41^Coverage^2013-09-30 15:38:33^2013-09-30 15:38:33
42^2010^2013-09-30 15:38:34^2013-09-30 15:38:34
43^2012^2013-09-30 15:38:34^2013-09-30 15:38:34
44^2011^2013-09-30 15:38:34^2013-09-30 15:38:34
45^Funding^2013-09-30 15:38:35^2013-09-30 15:38:35
46^Project^2013-09-30 15:38:36^2013-09-30 15:38:36
47^Proposals^2013-09-30 15:38:36^2013-09-30 15:38:36
48^Sector^2013-09-30 15:38:36^2013-09-30 15:38:36
